"ParkName","Region","State","Year","RecreationVisits"
"Great Smoky Mountains NP","Southeast","TN","2021","14161548"
"Great Smoky Mountains NP","Southeast","TN","2023","13297647"
"Great Smoky Mountains NP","Southeast","TN","2022","12937633"
"Great Smoky Mountains NP","Southeast","TN","2019","12547743"
"Great Smoky Mountains NP","Southeast","TN","2024","12191834"
"Great Smoky Mountains NP","Southeast","TN","2020","12095720"
"Great Smoky Mountains NP","Southeast","TN","2018","11421200"
"Great Smoky Mountains NP","Southeast","TN","2017","11338893"
"Great Smoky Mountains NP","Southeast","TN","2016","11312786"
"Great Smoky Mountains NP","Southeast","TN","2015","10712674"
"Great Smoky Mountains NP","Southeast","TN","1999","10283598"
"Great Smoky Mountains NP","Southeast","TN","1987","10209841"
"Great Smoky Mountains NP","Southeast","TN","2000","10175812"
"Great Smoky Mountains NP","Southeast","TN","2014","10099276"
"Great Smoky Mountains NP","Southeast","TN","1998","9989395"
"Great Smoky Mountains NP","Southeast","TN","1997","9965075"
"Great Smoky Mountains NP","Southeast","TN","1986","9836306"
"Great Smoky Mountains NP","Southeast","TN","2012","9685829"
"Great Smoky Mountains NP","Southeast","TN","2009","9491437"
"Great Smoky Mountains NP","Southeast","TN","2010","9463538"
"Great Smoky Mountains NP","Southeast","TN","2007","9372253"
"Great Smoky Mountains NP","Southeast","TN","2003","9366845"
"Great Smoky Mountains NP","Southeast","TN","2013","9354695"
"Great Smoky Mountains NP","Southeast","TN","1985","9319290"
"Great Smoky Mountains NP","Southeast","TN","2002","9316420"
"Great Smoky Mountains NP","Southeast","TN","2006","9289215"
"Great Smoky Mountains NP","Southeast","TN","1993","9283848"
"Great Smoky Mountains NP","Southeast","TN","1996","9265667"
"Great Smoky Mountains NP","Southeast","TN","2001","9197697"
"Great Smoky Mountains NP","Southeast","TN","2005","9192477"
"Great Smoky Mountains NP","Southeast","TN","2004","9167046"
"Great Smoky Mountains NP","Southeast","TN","1995","9080420"
"Great Smoky Mountains NP","Southeast","TN","2008","9044010"
"Great Smoky Mountains NP","Southeast","TN","2011","9008830"
"Great Smoky Mountains NP","Southeast","TN","1992","8931690"
"Great Smoky Mountains NP","Southeast","TN","1988","8770781"
"Great Smoky Mountains NP","Southeast","TN","1991","8654459"
"Great Smoky Mountains NP","Southeast","TN","1994","8628174"
"Great Smoky Mountains NP","Southeast","TN","1984","8508390"
"Great Smoky Mountains NP","Southeast","TN","1980","8440953"
"Great Smoky Mountains NP","Southeast","TN","1983","8435475"
"Great Smoky Mountains NP","Southeast","TN","1989","8333553"
"Great Smoky Mountains NP","Southeast","TN","1981","8312884"
"Great Smoky Mountains NP","Southeast","TN","1982","8177869"
"Great Smoky Mountains NP","Southeast","TN","1990","8151769"
"Great Smoky Mountains NP","Southeast","TN","1979","8019788"
"Grand Canyon NP","Intermountain","AZ","2018","6380495"
"Grand Canyon NP","Intermountain","AZ","2017","6254238"
"Grand Canyon NP","Intermountain","AZ","2019","5974411"
"Grand Canyon NP","Intermountain","AZ","2016","5969811"
"Grand Canyon NP","Intermountain","AZ","2015","5520736"
"Acadia NP","Northeast","ME","1989","5440952"
"Zion NP","Intermountain","UT","2021","5039835"
"Yosemite NP","Pacific West","CA","2016","5028868"
"Zion NP","Intermountain","UT","2024","4946592"
"Grand Canyon NP","Intermountain","AZ","2024","4919163"
"Yellowstone NP","Intermountain","WY","2021","4860242"
"Grand Canyon NP","Intermountain","AZ","1997","4791668"
"Grand Canyon NP","Intermountain","AZ","2014","4756771"
"Yellowstone NP","Intermountain","WY","2024","4744353"
"Grand Canyon NP","Intermountain","AZ","2023","4733705"
"Grand Canyon NP","Intermountain","AZ","2022","4732101"
"Zion NP","Intermountain","UT","2022","4692417"
"Rocky Mountain NP","Intermountain","CO","2019","4670053"
"Zion NP","Intermountain","UT","2023","4623238"
"Rocky Mountain NP","Intermountain","CO","2018","4590493"
"Grand Canyon NP","Intermountain","AZ","1993","4575602"
"Grand Canyon NP","Intermountain","AZ","1999","4575124"
"Grand Canyon NP","Intermountain","AZ","2013","4564840"
"Grand Canyon NP","Intermountain","AZ","1995","4557645"
"Grand Canyon NP","Intermountain","AZ","1996","4537703"
"Grand Canyon NP","Intermountain","AZ","2021","4532677"
"Rocky Mountain NP","Intermountain","CO","2016","4517585"
"Zion NP","Intermountain","UT","2017","4504812"
"Acadia NP","Northeast","ME","1988","4502283"
"Yellowstone NP","Intermountain","WY","2023","4501382"
"Zion NP","Intermountain","UT","2019","4488268"
"Grand Canyon NP","Intermountain","AZ","2000","4460228"
"Rocky Mountain NP","Intermountain","CO","2017","4437215"
"Rocky Mountain NP","Intermountain","CO","2021","4434848"
"Grand Canyon NP","Intermountain","AZ","2008","4425314"
"Yosemite NP","Pacific West","CA","2019","4422861"
"Grand Canyon NP","Intermountain","AZ","2012","4421352"
"Grand Canyon NP","Intermountain","AZ","2007","4413668"
"Grand Canyon NP","Intermountain","AZ","2005","4401522"
"Grand Canyon NP","Intermountain","AZ","2010","4388386"
"Grand Canyon NP","Intermountain","AZ","1994","4364316"
"Grand Canyon NP","Intermountain","AZ","2009","4348068"
"Yosemite NP","Pacific West","CA","2017","4336890"
"Grand Canyon NP","Intermountain","AZ","2004","4326234"
"Zion NP","Intermountain","UT","2018","4320033"
"Rocky Mountain NP","Intermountain","CO","2022","4300424"
"Grand Canyon NP","Intermountain","AZ","2011","4298178"
"Zion NP","Intermountain","UT","2016","4295127"
"Acadia NP","Northeast","ME","1987","4288154"
"Grand Canyon NP","Intermountain","AZ","2006","4279439"
"Yellowstone NP","Intermountain","WY","2016","4257177"
"Grand Canyon NP","Intermountain","AZ","1998","4239682"
"Grand Canyon NP","Intermountain","AZ","1992","4203545"
"Rocky Mountain NP","Intermountain","CO","2015","4155916"
"Rocky Mountain NP","Intermountain","CO","2024","4154349"
"Yosemite NP","Pacific West","CA","2015","4150217"
"Grand Canyon NP","Intermountain","AZ","2003","4124900"
"Acadia NP","Northeast","ME","1983","4124639"
"Yosemite NP","Pacific West","CA","2024","4121807"
"Yellowstone NP","Intermountain","WY","2017","4116524"
"Rocky Mountain NP","Intermountain","CO","2023","4115837"
"Yellowstone NP","Intermountain","WY","2018","4115000"
"Grand Canyon NP","Intermountain","AZ","2001","4104809"
"Yellowstone NP","Intermountain","WY","2015","4097710"
"Acadia NP","Northeast","ME","2021","4069098"
"Yosemite NP","Pacific West","CA","1996","4046207"
"Yellowstone NP","Intermountain","WY","2019","4020288"
"Yosemite NP","Pacific West","CA","2018","4009436"
"Grand Canyon NP","Intermountain","AZ","2002","4001974"
"Acadia NP","Northeast","ME","2022","3970260"
"Grand Canyon NP","Intermountain","AZ","1989","3966209"
"Yosemite NP","Pacific West","CA","1994","3962117"
"Acadia NP","Northeast","ME","2024","3961661"
"Yosemite NP","Pacific West","CA","1995","3958406"
"Yosemite NP","Pacific West","CA","2011","3951393"
"Acadia NP","Northeast","ME","1986","3929054"
"Yosemite NP","Pacific West","CA","2010","3901408"
"Yosemite NP","Pacific West","CA","2023","3897070"
"Grand Canyon NP","Intermountain","AZ","1991","3886031"
"Grand Teton NP","Intermountain","WY","2021","3885230"
"Yosemite NP","Pacific West","CA","2014","3882642"
"Acadia NP","Northeast","ME","2023","3879890"
"Grand Canyon NP","Intermountain","AZ","1988","3859886"
"Yosemite NP","Pacific West","CA","2012","3853404"
"Olympic NP","Pacific West","WA","1997","3846709"
"Yosemite NP","Pacific West","CA","1993","3839645"
"Yosemite NP","Pacific West","CA","1992","3819518"
"Yellowstone NP","Intermountain","WY","2020","3806306"
"Grand Canyon NP","Intermountain","AZ","1990","3776685"
"Acadia NP","Northeast","ME","1985","3745570"
"Yosemite NP","Pacific West","CA","2009","3737472"
"Acadia NP","Northeast","ME","1984","3734763"
"Olympic NP","Pacific West","WA","2024","3717267"
"Olympic NP","Pacific West","WA","2002","3691310"
"Yosemite NP","Pacific West","CA","2013","3691191"
"Yosemite NP","Pacific West","CA","1997","3669970"
"Yosemite NP","Pacific West","CA","2022","3667550"
"Olympic NP","Pacific West","WA","1995","3658615"
"Yosemite NP","Pacific West","CA","1998","3657132"
"Gateway Arch NP","Midwest","MO","1996","3649308"
"Zion NP","Intermountain","UT","2015","3648846"
"Yellowstone NP","Intermountain","WY","2010","3640185"
"Grand Teton NP","Intermountain","WY","2024","3628222"
"Zion NP","Intermountain","UT","2020","3591254"
"Olympic NP","Pacific West","WA","1998","3577007"
"Acadia NP","Northeast","ME","1982","3572114"
"Acadia NP","Northeast","ME","2018","3537575"
"Gateway Arch NP","Midwest","MO","2001","3532524"
"Cuyahoga Valley NP","Midwest","OH","1997","3527837"
"Yellowstone NP","Intermountain","WY","2014","3513484"
"Grand Canyon NP","Intermountain","AZ","1987","3513030"
"Acadia NP","Northeast","ME","2017","3509271"
"Yosemite NP","Pacific West","CA","2007","3503428"
"Yosemite NP","Pacific West","CA","1999","3493607"
"Grand Teton NP","Intermountain","WY","2018","3491151"
"Gateway Arch NP","Midwest","MO","1999","3481042"
"Cuyahoga Valley NP","Midwest","OH","1998","3467107"
"Gateway Arch NP","Midwest","MO","2000","3458956"
"Cuyahoga Valley NP","Midwest","OH","1996","3455878"
"Yellowstone NP","Intermountain","WY","2012","3447729"
"Acadia NP","Northeast","ME","2019","3437286"
"Rocky Mountain NP","Intermountain","CO","2014","3434751"
"Yosemite NP","Pacific West","CA","2008","3431514"
"Yosemite NP","Pacific West","CA","1991","3423101"
"Gateway Arch NP","Midwest","MO","1998","3420352"
"Gateway Arch NP","Midwest","MO","1997","3420076"
"Grand Teton NP","Intermountain","WY","2023","3417106"
"Olympic NP","Pacific West","WA","2001","3416069"
"Grand Teton NP","Intermountain","WY","2019","3405614"
"Olympic NP","Pacific West","WA","2017","3401996"
"Yosemite NP","Pacific West","CA","2000","3400903"
"Yellowstone NP","Intermountain","WY","2011","3394326"
"Olympic NP","Pacific West","WA","2016","3390221"
"Olympic NP","Pacific West","WA","1994","3381573"
"Yosemite NP","Pacific West","CA","2003","3378664"
"Yosemite NP","Pacific West","CA","2001","3368731"
"Olympic NP","Pacific West","WA","1999","3364266"
"Yosemite NP","Pacific West","CA","2002","3361867"
"Olympic NP","Pacific West","WA","1996","3348723"
"Gateway Arch NP","Midwest","MO","2002","3333454"
"Olympic NP","Pacific West","WA","2000","3327722"
"Cuyahoga Valley NP","Midwest","OH","2000","3324918"
"Cuyahoga Valley NP","Midwest","OH","1999","3324284"
"Grand Teton NP","Intermountain","WY","2017","3317000"
"Yosemite NP","Pacific West","CA","1989","3308159"
"Cuyahoga Valley NP","Midwest","OH","2004","3306175"
"Glacier NP","Intermountain","MT","2017","3305512"
"Rocky Mountain NP","Intermountain","CO","2020","3305199"
"Yosemite NP","Pacific West","CA","2005","3304144"
"Acadia NP","Northeast","ME","2016","3303393"
"Yellowstone NP","Intermountain","WY","2009","3295187"
"Yellowstone NP","Intermountain","WY","2022","3290242"
"Grand Teton NP","Intermountain","WY","2020","3289638"
"Yosemite NP","Pacific West","CA","2021","3287595"
"Yosemite NP","Pacific West","CA","2004","3280911"
"Olympic NP","Pacific West","WA","2009","3276459"
"Joshua Tree NP","Pacific West","CA","2023","3270404"
"Grand Teton NP","Intermountain","WY","2016","3270076"
"Cuyahoga Valley NP","Midwest","OH","1994","3266401"
"Olympic NP","Pacific West","WA","2015","3263761"
"Olympic NP","Pacific West","WA","2019","3245806"
"Olympic NP","Pacific West","WA","2014","3243872"
"Yosemite NP","Pacific West","CA","2006","3242644"
"Gateway Arch NP","Midwest","MO","1995","3234977"
"Rocky Mountain NP","Intermountain","CO","2012","3229617"
"Olympic NP","Pacific West","WA","2003","3225327"
"Cuyahoga Valley NP","Midwest","OH","2002","3217935"
"Yosemite NP","Pacific West","CA","1988","3216681"
"Glacier NP","Intermountain","MT","2024","3208755"
"Cuyahoga Valley NP","Midwest","OH","1995","3195207"
"Zion NP","Intermountain","UT","2014","3189696"
"Yellowstone NP","Intermountain","WY","2013","3188030"
"Rocky Mountain NP","Intermountain","CO","1999","3186323"
"Rocky Mountain NP","Intermountain","CO","2000","3185392"
"Indiana Dunes NP","Midwest","IN","2021","3177210"
"Rocky Mountain NP","Intermountain","CO","2011","3176941"
"Yosemite NP","Pacific West","CA","1987","3152275"
"Yellowstone NP","Intermountain","WY","2007","3151343"
"Grand Teton NP","Intermountain","WY","2015","3149921"
"Yellowstone NP","Intermountain","WY","1992","3144405"
"Olympic NP","Pacific West","WA","2005","3142774"
"Rocky Mountain NP","Intermountain","CO","2001","3139685"
"Yellowstone NP","Intermountain","WY","1999","3131381"
"Yellowstone NP","Intermountain","WY","1995","3125285"
"Yosemite NP","Pacific West","CA","1990","3124939"
"Cuyahoga Valley NP","Midwest","OH","2001","3123353"
"Yellowstone NP","Intermountain","WY","1998","3120830"
"Olympic NP","Pacific West","WA","2018","3104455"
"Olympic NP","Pacific West","WA","2013","3085340"
"Glacier NP","Intermountain","MT","2021","3081656"
"Olympic NP","Pacific West","WA","2008","3081451"
"Olympic NP","Pacific West","WA","2004","3073722"
"Rocky Mountain NP","Intermountain","CO","2003","3067256"
"Yellowstone NP","Intermountain","WY","2008","3066580"
"Joshua Tree NP","Pacific West","CA","2021","3064400"
"Joshua Tree NP","Pacific West","CA","2022","3058294"
"Glacier NP","Intermountain","MT","2019","3049839"
"Yellowstone NP","Intermountain","WY","1994","3046145"
"Grand Canyon NP","Intermountain","AZ","1986","3035787"
"Rocky Mountain NP","Intermountain","CO","1998","3035422"
"Olympic NP","Pacific West","WA","1992","3030195"
"Yellowstone NP","Intermountain","WY","2003","3019375"
"Yellowstone NP","Intermountain","WY","1996","3012171"
"Acadia NP","Northeast","ME","1981","2997972"
"Joshua Tree NP","Pacific West","CA","2024","2991874"
"Rocky Mountain NP","Intermountain","CO","2013","2991141"
"Olympic NP","Pacific West","WA","2007","2988686"
"Joshua Tree NP","Pacific West","CA","2019","2988547"
"Rocky Mountain NP","Intermountain","CO","2002","2988475"
"Yellowstone NP","Intermountain","WY","2002","2973677"
"Zion NP","Intermountain","UT","2012","2973607"
"Rocky Mountain NP","Intermountain","CO","1994","2968450"
"Gateway Arch NP","Midwest","MO","1982","2967323"
"Olympic NP","Pacific West","WA","2011","2966502"
"Rocky Mountain NP","Intermountain","CO","1997","2965354"
"Glacier NP","Intermountain","MT","2018","2965309"
"Olympic NP","Pacific West","WA","1988","2959122"
"Rocky Mountain NP","Intermountain","CO","2010","2955821"
"Gateway Arch NP","Midwest","MO","1983","2948022"
"Olympic NP","Pacific West","WA","2023","2947503"
"Glacier NP","Intermountain","MT","2016","2946681"
"Gateway Arch NP","Midwest","MO","2005","2944976"
"Joshua Tree NP","Pacific West","CA","2018","2942382"
"Olympic NP","Pacific West","WA","1986","2940034"
"Glacier NP","Intermountain","MT","2023","2933616"
"Rocky Mountain NP","Intermountain","CO","1996","2923755"
"Yellowstone NP","Intermountain","WY","1991","2920537"
"Cuyahoga Valley NP","Midwest","OH","2022","2913312"
"Cuyahoga Valley NP","Midwest","OH","2024","2912454"
"Yellowstone NP","Intermountain","WY","1993","2912193"
"Rocky Mountain NP","Intermountain","CO","1981","2911242"
"Glacier NP","Intermountain","MT","2022","2908458"
"Grand Canyon NP","Intermountain","AZ","2020","2897098"
"Rocky Mountain NP","Intermountain","CO","2007","2895383"
"Yellowstone NP","Intermountain","WY","1997","2889513"
"Cuyahoga Valley NP","Midwest","OH","2003","2879591"
"Rocky Mountain NP","Intermountain","CO","1995","2878169"
"Yosemite NP","Pacific West","CA","1986","2876717"
"Yellowstone NP","Intermountain","WY","2006","2870295"
"Yellowstone NP","Intermountain","WY","2004","2868317"
"Cuyahoga Valley NP","Midwest","OH","2023","2860059"
"Joshua Tree NP","Pacific West","CA","2017","2853619"
"Acadia NP","Northeast","ME","1995","2845378"
"Olympic NP","Pacific West","WA","2010","2844563"
"Yellowstone NP","Intermountain","WY","2000","2838233"
"Yellowstone NP","Intermountain","WY","2005","2835651"
"Indiana Dunes NP","Midwest","IN","2022","2834180"
"Yosemite NP","Pacific West","CA","1985","2831952"
"Cuyahoga Valley NP","Midwest","OH","2008","2828233"
"Zion NP","Intermountain","UT","2011","2825505"
"Olympic NP","Pacific West","WA","2012","2824908"
"Yellowstone NP","Intermountain","WY","1990","2823572"
"Olympic NP","Pacific West","WA","1987","2822850"
"Rocky Mountain NP","Intermountain","CO","2009","2822325"
"Acadia NP","Northeast","ME","2015","2811184"
"Zion NP","Intermountain","UT","2013","2807387"
"Grand Teton NP","Intermountain","WY","2022","2806223"
"Rocky Mountain NP","Intermountain","CO","2005","2798368"
"Olympic NP","Pacific West","WA","1990","2794903"
"Grand Teton NP","Intermountain","WY","2014","2791392"
"Rocky Mountain NP","Intermountain","CO","1992","2788868"
"Acadia NP","Northeast","ME","1979","2787366"
"Rocky Mountain NP","Intermountain","CO","2004","2781899"
"Rocky Mountain NP","Intermountain","CO","1993","2780342"
"Acadia NP","Northeast","ME","1980","2779666"
"Gateway Arch NP","Midwest","MO","2004","2779350"
"Indiana Dunes NP","Midwest","IN","2023","2765892"
"Acadia NP","Northeast","ME","1997","2760306"
"Olympic NP","Pacific West","WA","1991","2759673"
"Olympic NP","Pacific West","WA","1984","2759011"
"Yellowstone NP","Intermountain","WY","2001","2758526"
"Rocky Mountain NP","Intermountain","CO","2008","2757390"
"Grand Teton NP","Intermountain","WY","1998","2757060"
"Cuyahoga Valley NP","Midwest","OH","2020","2755628"
"Rocky Mountain NP","Intermountain","CO","1991","2751781"
"Olympic NP","Pacific West","WA","2006","2749197"
"Rocky Mountain NP","Intermountain","CO","2006","2743676"
"Yosemite NP","Pacific West","CA","1984","2738467"
"Olympic NP","Pacific West","WA","1989","2737611"
"Zion NP","Intermountain","UT","2009","2735402"
"Grand Teton NP","Intermountain","WY","1996","2733439"
"Grand Teton NP","Intermountain","WY","1995","2731015"
"Olympic NP","Pacific West","WA","2021","2718925"
"Grand Canyon NP","Intermountain","AZ","1985","2711529"
"Acadia NP","Northeast","ME","1994","2710749"
"Grand Teton NP","Intermountain","WY","2012","2705256"
"Indiana Dunes NP","Midwest","IN","2024","2705209"
"Acadia NP","Northeast","ME","1996","2704831"
"Zion NP","Intermountain","UT","2008","2690154"
"Grand Teton NP","Intermountain","WY","2013","2688794"
"Gateway Arch NP","Midwest","MO","2003","2685219"
"Grand Teton NP","Intermountain","WY","1999","2680025"
"Olympic NP","Pacific West","WA","1993","2679598"
"Bryce Canyon NP","Intermountain","UT","2018","2679478"
"Zion NP","Intermountain","UT","2004","2677342"
"Grand Teton NP","Intermountain","WY","2010","2669374"
"Acadia NP","Northeast","ME","2020","2669034"
"Zion NP","Intermountain","UT","2010","2665972"
"Grand Teton NP","Intermountain","WY","1997","2658762"
"Zion NP","Intermountain","UT","2007","2657281"
"Acadia NP","Northeast","ME","1993","2656034"
"Rocky Mountain NP","Intermountain","CO","1990","2647323"
"Hot Springs NP","Midwest","AR","2022","2646133"
"Yellowstone NP","Intermountain","WY","1989","2644442"
"Grand Teton NP","Intermountain","WY","1981","2643644"
"Rocky Mountain NP","Intermountain","CO","1980","2641937"
"Gateway Arch NP","Midwest","MO","1991","2622425"
"Grand Teton NP","Intermountain","WY","2002","2612629"
"Acadia NP","Northeast","ME","1999","2602227"
"Rocky Mountain NP","Intermountain","CO","1983","2599006"
"Bryce Canyon NP","Intermountain","UT","2019","2594904"
"Acadia NP","Northeast","ME","1998","2594497"
"Zion NP","Intermountain","UT","2002","2592545"
"Grand Teton NP","Intermountain","WY","2000","2590624"
"Cuyahoga Valley NP","Midwest","OH","2009","2589288"
"Grand Teton NP","Intermountain","WY","2007","2588574"
"Grand Teton NP","Intermountain","WY","2011","2587437"
"Zion NP","Intermountain","UT","2005","2586665"
"Grand Teton NP","Intermountain","WY","2009","2580081"
"Cuyahoga Valley NP","Midwest","OH","2021","2575275"
"Yellowstone NP","Intermountain","WY","1987","2573194"
"Gateway Arch NP","Midwest","MO","2006","2572072"
"Bryce Canyon NP","Intermountain","UT","2017","2571684"
"Grand Teton NP","Intermountain","WY","1993","2568689"
"Rocky Mountain NP","Intermountain","CO","1979","2568530"
"Zion NP","Intermountain","UT","2006","2567350"
"Rocky Mountain NP","Intermountain","CO","1982","2564116"
"Acadia NP","Northeast","ME","2014","2563129"
"Gateway Arch NP","Midwest","MO","2024","2563052"
"Acadia NP","Northeast","ME","2002","2558572"
"Grand Teton NP","Intermountain","WY","1980","2555627"
"Gateway Arch NP","Midwest","MO","1994","2553696"
"Rocky Mountain NP","Intermountain","CO","1988","2544211"
"Grand Teton NP","Intermountain","WY","1994","2540699"
"Gateway Arch NP","Midwest","MO","1993","2539740"
"Grand Teton NP","Intermountain","WY","2001","2535108"
"Grand Teton NP","Intermountain","WY","1982","2534029"
"Cuyahoga Valley NP","Midwest","OH","2005","2533827"
"Olympic NP","Pacific West","WA","1985","2532145"
"Rocky Mountain NP","Intermountain","CO","1987","2531864"
"Yellowstone NP","Intermountain","WY","1981","2521831"
